ingredient,function,category,sensitive_score,oily_score,dry_score,combination_score,normal_score,risk_level,benefits,concerns,sensitive_risk,oily_risk,dry_risk,combination_risk,normal_risk
Capric Acid,Emollient,Emollient,8,7,8,7,8,Low,Barrier Repair|Hydration,None,Low,Low,Low,Low,Low
Collagen (Topical),Anti-Aging,Humectant,8,7,9,8,8,Low,Hydration|Anti-Aging,None,Low,Low,Low,Low,Low
Elastin,Anti-Aging,Humectant,8,7,9,8,8,Low,Hydration|Anti-Aging,None,Low,Low,Low,Low,Low
Ectoin,Soothing,Soothing Agent,10,8,9,9,9,Low,Soothing|Anti-Inflammatory|Barrier Repair,None,Low,Low,Low,Low,Low
Sodium Hyaluronidase,Penetration Enhancer,Active,5,7,6,7,7,Moderate,Hydration,Irritation Risk,Moderate,Low,Low,Low,Low
Peptide Complex,Anti-Aging,Active,9,8,9,9,9,Low,Anti-Aging|Skin Recovery,None,Low,Low,Low,Low,Low
Acetyl Hexapeptide-3,Anti-Aging,Active,8,8,8,8,9,Low,Anti-Aging,None,Low,Low,Low,Low,Low
Palmitoyl Tripeptide-5,Anti-Aging,Active,8,7,9,8,9,Low,Anti-Aging|Barrier Repair,None,Low,Low,Low,Low,Low
Sodium Ascorbate,Antioxidant,Antioxidant,8,8,8,8,9,Low,Antioxidant|Brightening,None,Low,Low,Low,Low,Low
Tocopherol Phosphate,Antioxidant,Antioxidant,8,7,8,8,8,Low,Antioxidant|Skin Recovery,None,Low,Low,Low,Low,Low
Succinic Acid,Antibacterial,Active,6,9,6,8,7,Low,Acne Support|Brightening,Irritation Risk,Low,Low,Low,Low,Low
Lactobacillus/Ferment Lysate,Barrier Repair,Ferment,9,8,9,9,9,Low,Barrier Repair|Microbiome Support|Soothing,None,Low,Low,Low,Low,Low
Prebiotic Inulin,Barrier Repair,Excipient,9,8,9,9,9,Low,Barrier Repair|Microbiome Support,None,Low,Low,Low,Low,Low
Sea Water,Mineral,Excipient,7,8,6,8,8,Low,Hydration|Mineral Replenishment,None,Low,Low,Low,Low,Low
Thermal Water,Soothing,Excipient,9,8,8,9,9,Low,Soothing|Redness Reduction,None,Low,Low,Low,Low,Low
Mineral Water,Hydration,Excipient,9,8,8,9,9,Low,Hydration|Soothing,None,Low,Low,Low,Low,Low
Silicone Crosspolymer,Texture Enhancer,Excipient,8,7,7,8,8,Low,None,None,Low,Low,Low,Low,Low
Nylon-12,Texture Enhancer,Excipient,8,8,7,8,8,Low,None,None,Low,Low,Low,Low,Low
Mica,Luminizer,Excipient,8,7,7,8,8,Low,None,None,Low,Low,Low,Low,Low
Iron Oxides,Colorant,Excipient,8,7,7,8,8,Low,None,None,Low,Low,Low,Low,Low
Sodium Chloride,Tonicity Agent,Excipient,8,7,7,8,8,Low,None,Irritation Risk,Moderate,Low,Low,Low,Low
Magnesium Sulfate,Tonicity Agent,Excipient,8,7,7,8,8,Low,None,None,Low,Low,Low,Low,Low
Sericin,Barrier Repair,Protein,9,7,9,8,9,Low,Barrier Repair|Hydration|Soothing,None,Low,Low,Low,Low,Low
Silk Amino Acids,Humectant,Protein,9,8,9,9,9,Low,Hydration|Barrier Repair,None,Low,Low,Low,Low,Low
Hydroxyproline,Humectant,Amino Acid,9,8,9,9,9,Low,Hydration|Anti-Aging,None,Low,Low,Low,Low,Low
Arginine,pH Adjuster,Amino Acid,9,8,8,9,9,Low,Soothing|Barrier Repair,None,Low,Low,Low,Low,Low
Proline,Humectant,Amino Acid,9,8,9,9,9,Low,Hydration|Barrier Repair,None,Low,Low,Low,Low,Low
Serine,Humectant,Amino Acid,9,8,9,9,9,Low,Hydration|Barrier Repair,None,Low,Low,Low,Low,Low
Inositol,Cell Communication,Active,8,8,8,8,8,Low,Hydration|Barrier Repair,None,Low,Low,Low,Low,Low
Niacinamide Riboside,Anti-Aging,Active,8,8,8,8,9,Low,Anti-Aging|Brightening,None,Low,Low,Low,Low,Low
Ergothioneine,Antioxidant,Antioxidant,9,8,8,9,9,Low,Antioxidant|Anti-Aging|Anti-Inflammatory,None,Low,Low,Low,Low,Low
Plankton Extract,Anti-Aging,Botanical Extract,8,8,8,9,9,Low,Anti-Aging|Antioxidant|Hydration,None,Low,Low,Low,Low,Low
Algae Extract,Anti-Aging,Botanical Extract,9,8,9,9,9,Low,Hydration|Antioxidant|Anti-Aging,None,Low,Low,Low,Low,Low
Spirulina Extract,Antioxidant,Botanical Extract,8,8,8,8,9,Low,Antioxidant|Brightening|Anti-Aging,None,Low,Low,Low,Low,Low
Chlorella Extract,Detoxifying,Botanical Extract,8,8,8,8,9,Low,Antioxidant|Detoxifying|Brightening,None,Low,Low,Low,Low,Low
Broccoli Extract,Antioxidant,Botanical Extract,8,8,8,8,9,Low,Antioxidant|Anti-Aging,None,Low,Low,Low,Low,Low
Kale Extract,Antioxidant,Botanical Extract,8,8,8,8,9,Low,Antioxidant|Brightening,None,Low,Low,Low,Low,Low
Water,Solvent,Excipient,10,10,10,10,10,Low,None,None,Low,Low,Low,Low,Low
